size,growthRate,InitialSize,breaks,time,diff,stdGR
15.279,6.943,8.336,0,T6,T3 to T6,0.8328934740882916
29.505,9.027445999999998,20.477554,0,T6,T3 to T6,0.4408459135304928
15.694,2.2310000000000016,13.463,0,T6,T3 to T6,0.16571343682685893
32.837,9.784000000000002,23.053,0,T6,T3 to T6,0.4244133084631068
24.576,13.376000000000001,11.2,0,T6,T3 to T6,1.1942857142857144
34.035,7.887999999999998,26.147,0,T6,T3 to T6,0.30167896890656665
14.673,5.474,9.199,0,T6,T3 to T6,0.5950646809435809
28.53,10.443000000000001,18.087,0,T6,T3 to T6,0.5773760159230388
30.554,8.654,21.9,0,T6,T3 to T6,0.3951598173515982
4.266,2.75,1.516,0,T6,T3 to T6,1.8139841688654352
11.679,4.989,6.69,0,T6,T3 to T6,0.7457399103139013
7.052,1.7189999999999994,5.333,0,T6,T3 to T6,0.3223326457903618
23.617,7.48,16.137,0,T6,T3 to T6,0.46353101567825494
8.042,2.2139999999999995,5.828,0,T6,T3 to T6,0.3798901853122854
11.155,0.24099999999999966,10.914,0,T6,T3 to T6,0.02208172988821694
10.501,1.6310000000000002,8.87,0,T6,T3 to T6,0.18387824126268323
0.492,-0.04800000000000004,0.54,0,T6,T3 to T6,-0.08888888888888896
7.818,3.085,4.733,0,T6,T3 to T6,0.6518064652440313
13.589,6.187,7.402,0,T6,T3 to T6,0.8358551742772224
4.693,3.2989999999999995,1.394,0,T6,T3 to T6,2.3665710186513627
26.001,16.273000000000003,9.728,0,T6,T3 to T6,1.6728001644736845
8.878,2.2560000000000002,6.622,0,T6,T3 to T6,0.3406825732407128
18.621,7.034999999999998,11.586,0,T6,T3 to T6,0.6071983428275504
21.564,5.941000000000001,15.623,0,T6,T3 to T6,0.3802726749023876
8.576,-3.9339999999999993,12.51,0,T6,T3 to T6,-0.31446842525979213
7.896,-3.2559999999999993,11.152,0,T6,T3 to T6,-0.29196556671449064
3.729,-18.793,22.522,0,T6,T3 to T6,-0.8344285587425628
13.759,1.649000000000001,12.11,0,T6,T3 to T6,0.1361684558216351
15.019,11.278,3.741,0,T6,T3 to T6,3.0147019513499065
13.566,7.954000000000001,5.612,0,T6,T3 to T6,1.4173200285103351
21.044,8.609,12.435,0,T6,T3 to T6,0.6923200643345396
45.292,18.796000000000003,26.496,0,T6,T3 to T6,0.7093900966183576
18.362,9.468999999999998,8.893,0,T6,T3 to T6,1.0647700438547167
33.8279,19.207900000000002,14.62,0,T6,T3 to T6,1.313809849521204
